Comment,Designator,Footprint,LCSC
1k,"R13,R16,R18",R_0402_1005Metric,C11702
SWDIO,J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337
10u,"C1,C3,C5",C_1206_3216Metric,C13585
100n,"C10,C11,C9",C_0402_1005Metric,C1525
1,"R10,R11,R12,R2,R3,R4,R6,R7,R8",R_1206_3216Metric,C17928
1XXB16368MBA,X2,OSC-SMD_4P-L2.5-W2.0-BL,C213423
DDR3_204P_SMD,SLOT1,CONN-SMD_204P-P0.60_AS0A621-H2R6-7H,C225722
39k,"R1,R5,R9",R_0402_1005Metric,C25783
5.6k,R17,R_0402_1005Metric,C25908
K7805MT-1000R4,"U1,U2,U3",K78xxMT-500R4,C2692189
9-28V,J14,DB126V-5.0-2P-GN-P,C3031443
Reset,SW1,TS-1187A-B-A-B,C319436
~,"J1,J2",CONN-TH_36P-P1.00-V_3183-10200P1T,C404113
CS48520S,U9,SOIC-8_3.9x4.9mm_P1.27mm,C5184817
+5V,"TP1,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP2,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP3,TP4,TP5,TP6,TP7,TP8,TP9",TestPoint_Keystone_5015_Micro-Minature,C5199798
ch32v003f4u6,U7,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,C5299908
22u,"C2,C4,C6,C7",C_1206_3216Metric,C5672
22u,"C12,C8",C_0603_1608Metric,C59461
AMS1117-3.3,"U4,U5",SOT-223-3_TabPin2,C6186
PWR,"D4,D5",D_0603_1608Metric,C72043
GS8743-TR,U8,SOT-23-5,C840038
SS34,"D1,D2,D3",D_SMA,C8678
BLM18KG221SN1D,FB1,L_0603_1608Metric,C88980
Raspberry_Pi_2_3,RP1,raspberrypi_2_3,
