Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric,128.0,-179.025,90.0,top
C2,22u,C_1206_3216Metric,142.0,-193.025,90.0,top
C3,10u,C_1206_3216Metric,128.0,-164.275,90.0,top
C4,22u,C_1206_3216Metric,142.0,-179.025,90.0,top
C5,10u,C_1206_3216Metric,128.25,-192.975,90.0,top
C6,22u,C_1206_3216Metric,142.0,-164.775,90.0,top
C7,22u,C_1206_3216Metric,163.0,-175.975,-90.0,top
C8,22u,C_0603_1608Metric,258.75,-170.525,-90.0,top
C9,100n,C_0402_1005Metric,214.25,-184.52,90.0,top
C10,100n,C_0402_1005Metric,206.0,-189.52,90.0,top
C11,100n,C_0402_1005Metric,228.73,-142.0,0.0,top
C12,22u,C_0603_1608Metric,163.0,-163.475,-90.0,top
D1,SS34,D_SMA,149.25,-188.5,180.0,top
D2,SS34,D_SMA,149.58,-174.5,180.0,top
D3,SS34,D_SMA,149.5,-159.75,180.0,top
D4,PWR,D_0603_1608Metric,268.0,-172.5,-90.0,top
D5,PC2,D_0603_1608Metric,211.5375,-183.5,180.0,top
FB1,BLM18KG221SN1D,L_0603_1608Metric,268.0,-175.76,-90.0,top
J1,~,CONN-TH_36P-P1.00-V_3183-10200P1T,266.296,-159.366,0.0,top
J2,~,CONN-TH_36P-P1.00-V_3183-10200P1T,266.296,-185.616,0.0,top
J5,SWDIO,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,210.75,-193.84,180.0,top
R1,39k,R_0402_1005Metric,142.0,-189.01,90.0,top
R2,1,R_1206_3216Metric,146.25,-193.0,90.0,top
R3,1,R_1206_3216Metric,152.25,-193.0,90.0,top
R4,1,R_1206_3216Metric,149.25,-193.0,90.0,top
R5,39k,R_0402_1005Metric,142.0,-174.76,90.0,top
R6,1,R_1206_3216Metric,146.0,-179.0375,90.0,top
R7,1,R_1206_3216Metric,149.29,-179.0375,90.0,top
R8,1,R_1206_3216Metric,152.58,-179.0375,90.0,top
R9,39k,R_0402_1005Metric,142.0,-160.51,90.0,top
R10,1,R_1206_3216Metric,145.92,-164.2875,90.0,top
R11,1,R_1206_3216Metric,149.21,-164.2875,90.0,top
R12,1,R_1206_3216Metric,152.5,-164.2875,90.0,top
R13,1k,R_0402_1005Metric,270.01,-171.75,0.0,top
R16,1k,R_0402_1005Metric,209.01,-183.5,0.0,top
R17,5.6k,R_0402_1005Metric,228.75,-144.25,-90.0,top
R18,1k,R_0402_1005Metric,228.75,-146.26,-90.0,top
SLOT1,DDR3_204P_SMD,CONN-SMD_204P-P0.60_AS0A621-H2R6-7H,189.549587,-143.490842,-90.0,top
SW1,Reset,TS-1187A-B-A-B,203.0,-193.625,0.0,top
TP1,+5V,TestPoint_Keystone_5015_Micro-Minature,175.5,-187.0,0.0,top
TP2,GND,TestPoint_Keystone_5015_Micro-Minature,219.0,-161.5,0.0,top
TP3,GND,TestPoint_Keystone_5015_Micro-Minature,175.5,-194.0,0.0,top
TP4,GND,TestPoint_Keystone_5015_Micro-Minature,120.0,-195.0,0.0,top
TP5,I1,TestPoint_Keystone_5015_Micro-Minature,237.0,-112.75,0.0,top
TP6,SDATA,TestPoint_Keystone_5015_Micro-Minature,218.91,-195.24,180.0,top
TP7,I0,TestPoint_Keystone_5015_Micro-Minature,237.0,-116.5,0.0,top
TP8,CS#,TestPoint_Keystone_5015_Micro-Minature,218.91,-191.49,180.0,top
TP9,SCLK,TestPoint_Keystone_5015_Micro-Minature,218.91,-187.74,180.0,top
TP10,PGM,TestPoint_Keystone_5015_Micro-Minature,218.91,-183.99,180.0,top
TP11,CLK_16,TestPoint_Keystone_5015_Micro-Minature,219.75,-144.0,0.0,top
TP12,GND,TestPoint_Keystone_5015_Micro-Minature,218.25,-113.0,0.0,top
TP13,CLK_16,TestPoint_Keystone_5015_Micro-Minature,219.75,-139.5,0.0,top
TP14,Q1,TestPoint_Keystone_5015_Micro-Minature,237.0,-120.25,0.0,top
TP15,Q0,TestPoint_Keystone_5015_Micro-Minature,237.0,-124.0,0.0,top
TP16,I1,TestPoint_Keystone_5015_Micro-Minature,272.0,-112.75,0.0,top
TP17,Q1,TestPoint_Keystone_5015_Micro-Minature,272.0,-120.25,180.0,top
TP18,I0,TestPoint_Keystone_5015_Micro-Minature,272.0,-116.5,180.0,top
TP19,Q0,TestPoint_Keystone_5015_Micro-Minature,272.0,-124.0,0.0,top
TP20,I1,TestPoint_Keystone_5015_Micro-Minature,248.0,-112.75,0.0,top
TP21,Q1,TestPoint_Keystone_5015_Micro-Minature,248.0,-120.25,180.0,top
TP22,I0,TestPoint_Keystone_5015_Micro-Minature,248.0,-116.5,180.0,top
TP23,Q0,TestPoint_Keystone_5015_Micro-Minature,248.0,-124.0,0.0,top
TP24,I1,TestPoint_Keystone_5015_Micro-Minature,260.0,-112.75,0.0,top
TP25,Q1,TestPoint_Keystone_5015_Micro-Minature,260.0,-120.25,180.0,top
TP26,I0,TestPoint_Keystone_5015_Micro-Minature,260.0,-116.5,180.0,top
TP27,Q0,TestPoint_Keystone_5015_Micro-Minature,260.0,-124.0,0.0,top
U1,K7805MT-1000R4,K78xxMT-500R4,135.46,-191.96,90.0,top
U2,K7805MT-1000R4,K78xxMT-500R4,135.54,-177.96,90.0,top
U3,K7805MT-1000R4,K78xxMT-500R4,135.54,-163.21,90.0,top
U4,AMS1117-3.3,SOT-223-3_TabPin2,263.39,-172.84,90.0,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,162.35,-157.5,0.0,top
U7,ch32v003f4u6,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,213.3,-187.92,180.0,top
U8,GS8743-TR,SOT-23-5,225.3875,-142.95,0.0,top
U9,CS48520S,SOIC-8_3.9x4.9mm_P1.27mm,226.725,-137.59,0.0,top
X2,1XXB16368MBA,OSC-SMD_4P-L2.5-W2.0-BL,214.586,-144.8645,0.0,top
