Comment,Designator,Footprint,LCSC
GZ1608D601TF,"FB1,FB2,FB3,FB4",L_0603_1608Metric,C1002
1k,"R10,R11,R12",R_0402_1005Metric,C11702
MAX2769B,"U1,U3,U4,U5",TQFN-28-1EP_5x5mm_P0.5mm_EP3.25x3.25mm_ThermalVias,C118482
10nF,"C20,C32,C44,C5",C_0402_1005Metric,C15195
100nF,"C1,C12,C13,C15,C16,C18,C21,C24,C25,C27,C28,C3,C30,C33,C36,C37,C39,C40,C42,C45,C48,C49,C51,C9",C_0402_1005Metric,C1525
0.47n,"C14,C17,C19,C2,C26,C29,C31,C38,C4,C41,C43,C50",C_0402_1005Metric,C1537
100pF,"C10,C22,C34,C46",C_0402_1005Metric,C1546
27pF,"C11,C23,C35,C47",C_0402_1005Metric,C1557
0,"R2,R25,R26,R27",R_0402_1005Metric,C17168
10uF,"C52,C53,C55,C56,C58,C59,C6,C7",C_0603_1608Metric,C19702
100,"R28,R29,R3,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R43,R5",R_0402_1005Metric,C25076
20k,"R1,R16,R20,R24",R_0402_1005Metric,C25765
1k,"R13,R14,R15,R17,R18,R19,R21,R22,R23",R_0402_1005Metric,C25900
L,"L1,L2,L3,L4",L_0402_1005Metric,C2846467
CS48520S,U2,SOIC-8_3.9x4.9mm_P1.27mm,C5184817
10nF,"C54,C57,C60,C8",C_0603_1608Metric,C57112
PWR,"D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9",D_0603_1608Metric,C72043
~,J1,BUS_PCIexpress_x1,
RF,J2,SMA_Amphenol_132291_Vertical,
Shield,J3,Laird_Technologies_BMI-S-101_13.66x12.70mm,
CLKOUT,TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,
Shield,J8,Laird_Technologies_BMI-S-101_13.66x12.70mm,
Shield,J6,Laird_Technologies_BMI-S-101_13.66x12.70mm,
RF,J7,SMA_Amphenol_132291_Vertical,
GND,H1,MountingHole_3.2mm_M3_ISO7380_Pad,
Shield,J4,Laird_Technologies_BMI-S-101_13.66x12.70mm,
RF,J5,SMA_Amphenol_132291_Vertical,
CLKOUT,TP4,TestPoint_THTPad_D1.0mm_Drill0.5mm,
CLKOUT,TP5,TestPoint_THTPad_D1.0mm_Drill0.5mm,
GND,H2,MountingHole_3.2mm_M3_ISO7380_Pad,
RF,J9,SMA_Amphenol_132291_Vertical,
CLKOUT,TP3,TestPoint_THTPad_D1.0mm_Drill0.5mm,
