Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,175.32,-123.55,180.0,top
C2,0.47n,C_0402_1005Metric,174.77,-125.845,90.0,top
C3,100nF,C_0402_1005Metric,179.22,-123.55,0.0,top
C4,0.47n,C_0402_1005Metric,177.55,-132.28,90.0,top
C5,10nF,C_0402_1005Metric,191.02,-128.25,180.0,top
C6,10uF,C_0603_1608Metric,193.5,-132.75,-90.0,top
C7,10uF,C_0603_1608Metric,188.75,-133.5,-90.0,top
C8,10nF,C_0603_1608Metric,188.75,-130.45,90.0,top
C9,100nF,C_0402_1005Metric,179.55,-132.13,-90.0,top
C10,100pF,C_0402_1005Metric,178.55,-132.13,-90.0,top
C11,27pF,C_0402_1005Metric,183.75,-128.575,180.0,top
C12,100nF,C_0402_1005Metric,184.63,-129.6,0.0,top
C13,100nF,C_0402_1005Metric,184.67,-125.0,0.0,top
C14,0.47n,C_0402_1005Metric,185.27,-128.095,-90.0,top
C15,100nF,C_0402_1005Metric,184.67,-126.0,0.0,top
C16,100nF,C_0402_1005Metric,174.7,-77.73,90.0,top
C17,0.47n,C_0402_1005Metric,174.65,-79.73,90.0,top
C18,100nF,C_0402_1005Metric,177.7,-77.3,180.0,top
C19,0.47n,C_0402_1005Metric,178.43,-85.85,180.0,top
C20,10nF,C_0402_1005Metric,191.02,-81.95,180.0,top
C21,100nF,C_0402_1005Metric,180.72,-85.0,0.0,top
C22,100pF,C_0402_1005Metric,180.72,-86.0,0.0,top
C23,27pF,C_0402_1005Metric,185.0,-81.45,180.0,top
C24,100nF,C_0402_1005Metric,182.98,-81.35,0.0,top
C25,100nF,C_0402_1005Metric,183.5,-78.37,90.0,top
C26,0.47n,C_0402_1005Metric,185.0,-79.45,180.0,top
C27,100nF,C_0402_1005Metric,182.5,-78.37,90.0,top
C28,100nF,C_0402_1005Metric,174.79,-93.23,90.0,top
C29,0.47n,C_0402_1005Metric,174.79,-95.48,90.0,top
C30,100nF,C_0402_1005Metric,178.8,-92.5,0.0,top
C31,0.47n,C_0402_1005Metric,178.38,-101.3,180.0,top
C32,10nF,C_0402_1005Metric,191.0,-99.0,180.0,top
C33,100nF,C_0402_1005Metric,181.31,-100.5,0.0,top
C34,100pF,C_0402_1005Metric,181.31,-101.5,0.0,top
C35,27pF,C_0402_1005Metric,184.06,-97.25,180.0,top
C36,100nF,C_0402_1005Metric,182.54,-97.25,-90.0,top
C37,100nF,C_0402_1005Metric,182.45,-93.87,90.0,top
C38,0.47n,C_0402_1005Metric,185.54,-96.73,-90.0,top
C39,100nF,C_0402_1005Metric,183.45,-93.87,90.0,top
C40,100nF,C_0402_1005Metric,174.75,-108.73,90.0,top
C41,0.47n,C_0402_1005Metric,174.75,-111.75,90.0,top
C42,100nF,C_0402_1005Metric,178.77,-108.0,0.0,top
C43,0.47n,C_0402_1005Metric,177.75,-116.48,90.0,top
C44,10nF,C_0402_1005Metric,191.02,-113.25,180.0,top
C45,100nF,C_0402_1005Metric,179.23,-116.0,0.0,top
C46,100pF,C_0402_1005Metric,179.23,-117.0,0.0,top
C47,27pF,C_0402_1005Metric,184.0,-112.67,180.0,top
